ClassID,StudentID,KumonGradeLevel,LineNumber,AssignDate,AssignNumber,Location,WkFrom,WkTo,WkTime,Wk1Score,Wk2Score,Wk3Score,Wk4Score,Wk5Score,Wk6Score,Wk7Score,Wk8Score,Wk9Score,Wk10Score,NCOR,Comments,Status
02210274,8401950957857,BII,1,20-Mar-20,1,H,141,145,,,,,,,,,,,,,,0
02210274,8401750219414,AII,5,16-Mar-20,1,H,41,45,,,,,,,,,,,,,,0
02210274,8401650855019,BI,5,29-Feb-20,1,H,75,77,0,,,,,,,,,,,0,,2
02210274,8401950022036,AII,11,29-Feb-20,1,H,176,180,0,0,0,0,0,0,100,100,90,90,90,0,,1
02210274,8401950873539,CI,1,09-Apr-20,1,C,106,110,,,,,,,,,,,,,,0
02210274,8401751179687,CI,1,09-Apr-20,1,H,16,18,,,,,,,,,,,,,,0
02210274,8402050085709,BII,1,30-Mar-20,1,C,1,10,,,,,,,,,,,,,,0
02210274,8401950734984,AI,7,23-Mar-20,1,H,176,180,,,,,,,,,,,,,,0
02210274,8401650855019,BI,6,19-Mar-20,1,H,98,100,,,,,,,,,,,,,,0
02210274,8401950022036,BI,4,09-Apr-20,1,H,76,80,,,,,,,,,,,,,,0
02210274,8401950734984,AI,5,29-Feb-20,1,H,116,120,0,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401750488070,BI,1,15-Apr-20,1,H,161,165,,,,,,,,,,,,,,0
02210274,8401950443381,BI,3,06-Apr-20,1,H,71,75,0,0,0,0,0,0,0,0,0,0,0,1,Cloe: Reads very well- did the packet mostly on his own. Needed help with spelling and some harder w,2
02210274,8401950620492,AII,2,10-Apr-20,1,H,196,200,0,0,0,0,0,0,0,0,0,0,0,1,Camila: Read well- only needed help for spelling and only a few times.,2
02210274,8401850800710,CI,1,20-Feb-20,1,C,91,94,18,100,100,100,100,0,0,0,0,0,0,0,stephanie: she was able o understand passive 4 active. she understand all the stories she reads. cou,1
02210274,8401750219414,AII,7,02-Apr-20,1,H,86,90,,,,,,,,,,,,,,0
02210274,8401850359942,BI,5,19-Mar-20,1,H,171,174,,,,,,,,,,,,,,0
02210274,8401850286880,BII,3,28-Feb-20,1,H,189,190,,,,,,,,,,,,,,0
02210274,8401951204301,BII,3,27-Feb-20,1,C,131,140,32,100,70,100,69,70,100,100,70,100,70,0,,1
